com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
42170,1,1,1,0,4.0
42184,1,3,7,0,4.0
42187,3,6,8,2,3.67
42189,1,2,1,2,4.0
42207,2,2,2,1,4.0
42218,4,6,8,4,3.5
42224,1,1,2,0,4.0
43007,1,1,1,0,3.0
43041,1,1,1,0,4.0
43089,1,2,0,2,4.0
43099,1,2,4,1,4.0
43130,1,1,1,1,3.0
43132,1,2,2,0,4.0
43157,5,7,4,5,4.0
43177,1,2,3,1,4.0
43218,1,3,3,1,4.0
43224,1,2,1,1,4.0
43234,1,2,1,1,2.0
43268,1,1,1,0,4.0
44020,2,3,2,1,3.5
44026,2,3,2,1,3.5
44029,1,2,2,0,3.0
44038,1,1,1,1,3.0
44051,1,1,2,0,4.0
44056,1,2,1,0,3.0
44064,1,2,2,1,4.0
44069,1,2,2,1,4.0
44073,1,1,1,0,3.0
44091,1,2,1,3,4.0
44094,1,1,1,0,3.0
44109,19,33,26,14,3.84
44114,1,4,4,2,4.0
44129,1,3,2,3,4.0
44142,1,2,1,2,3.0
44143,2,3,2,2,3.5
44154,1,3,3,0,4.0
44159,1,2,2,0,4.0
44162,3,4,5,0,3.67
44168,1,1,1,0,3.0
44184,3,4,6,0,4.0
44190,3,7,5,2,3.67
44204,1,1,0,1,4.0
44210,1,1,0,2,3.0
44213,1,3,2,1,3.0
45004,4,5,3,4,4.0
45030,1,2,3,0,3.0
45040,1,1,2,2,4.0
45051,1,2,2,0,2.0
45059,1,2,0,2,3.0
45062,1,2,2,1,4.0
45075,1,1,1,1,4.0
45137,1,2,2,0,3.0
45147,2,4,3,1,3.5
45155,1,2,0,2,3.0
45173,1,2,1,1,3.0
45187,1,1,2,0,3.0
45193,1,2,0,2,3.0
45208,2,4,3,2,4.0
45217,1,1,1,0,3.0
45232,1,2,2,0,2.0
45234,6,7,12,1,3.67
45285,1,1,1,2,4.0
45302,3,5,3,3,4.0
45316,1,2,3,0,3.0
45322,1,2,1,1,3.0
46038,1,1,1,1,4.0
46042,2,3,1,2,3.5
46064,1,1,1,1,4.0
46083,3,4,4,3,3.33
46225,1,3,2,1,3.0
46246,1,1,1,0,3.0
47001,3,5,2,4,4.0
47031,3,7,3,4,4.0
47040,1,2,2,0,4.0
47055,1,1,0,2,4.0
47133,1,1,0,1,2.0
47138,1,2,1,1,3.0
47210,1,2,1,1,3.0
47218,1,1,1,0,3.0
47233,1,1,0,2,3.0
47252,1,2,0,3,4.0
47310,2,3,4,0,3.0
47315,1,2,2,1,4.0
47323,1,2,3,1,4.0
48117,1,1,1,0,2.0
48185,1,1,1,0,3.0
49007,20,30,25,13,3.85
49015,1,1,0,1,4.0
49021,1,1,2,1,4.0
49069,1,2,4,0,4.0
49099,4,6,5,3,3.5
49129,1,2,2,1,4.0
49183,1,1,1,0,3.0
49218,1,2,2,0,3.0
